요양개시년월,주소(시도),주소(시군구),연령군,진료에피소드 건수,초미세먼지,미세먼지,일산화탄소,오존,이산화질소,아황산가스
201001,서울특별시,중구,4,19,21,58,1.0,0.011,0.043,0.007
201001,서울특별시,중구,5,15,21,58,1.0,0.011,0.043,0.007
201001,서울특별시,중랑구,0,468,26,60,0.5,0.011,0.045,0.007
201001,서울특별시,중랑구,1,235,26,60,0.5,0.011,0.045,0.007
201001,서울특별시,중랑구,2,127,26,60,0.5,0.011,0.045,0.007
201001,서울특별시,중랑구,3,233,26,60,0.5,0.011,0.045,0.007
201001,서울특별시,중랑구,4,99,26,60,0.5,0.011,0.045,0.007
201001,서울특별시,중랑구,5,60,26,60,0.5,0.011,0.045,0.007
201002,서울특별시,강남구,0,298,33,53,0.6,0.011,0.045,0.006
201002,서울특별시,강남구,1,155,33,53,0.6,0.011,0.045,0.006
201002,서울특별시,강남구,2,75,33,53,0.6,0.011,0.045,0.006
201002,서울특별시,강남구,3,310,33,53,0.6,0.011,0.045,0.006
201002,서울특별시,강남구,4,122,33,53,0.6,0.011,0.045,0.006
201002,서울특별시,강남구,5,80,33,53,0.6,0.011,0.045,0.006
201002,서울특별시,강동구,0,399,31,49,0.3,0.016,0.036,0.008
201002,서울특별시,강동구,1,196,31,49,0.3,0.016,0.036,0.008
201002,서울특별시,강동구,2,110,31,49,0.3,0.016,0.036,0.008
201002,서울특별시,강동구,3,241,31,49,0.3,0.016,0.036,0.008
201002,서울특별시,강동구,4,71,31,49,0.3,0.016,0.036,0.008
201002,서울특별시,강동구,5,45,31,49,0.3,0.016,0.036,0.008
201002,서울특별시,강북구,0,373,25,45,0.6,0.018,0.043,0.009
201002,서울특별시,강북구,1,161,25,45,0.6,0.018,0.043,0.009
201002,서울특별시,강북구,2,91,25,45,0.6,0.018,0.043,0.009
201002,서울특별시,강북구,3,283,25,45,0.6,0.018,0.043,0.009
201002,서울특별시,강북구,4,124,25,45,0.6,0.018,0.043,0.009
201002,서울특별시,강북구,5,68,25,45,0.6,0.018,0.043,0.009
201002,서울특별시,강서구,0,89,35,52,0.7,0.015,0.043,0.007
201002,서울특별시,강서구,1,24,35,52,0.7,0.015,0.043,0.007
201002,서울특별시,강서구,2,32,35,52,0.7,0.015,0.043,0.007
201002,서울특별시,강서구,3,118,35,52,0.7,0.015,0.043,0.007
201002,서울특별시,강서구,4,48,35,52,0.7,0.015,0.043,0.007
201002,서울특별시,강서구,5,30,35,52,0.7,0.015,0.043,0.007
201002,서울특별시,관악구,0,353,32,56,0.7,0.014,0.04,0.005
201002,서울특별시,관악구,1,168,32,56,0.7,0.014,0.04,0.005
201002,서울특별시,관악구,2,96,32,56,0.7,0.014,0.04,0.005
201002,서울특별시,관악구,3,248,32,56,0.7,0.014,0.04,0.005
201002,서울특별시,관악구,4,94,32,56,0.7,0.014,0.04,0.005
201002,서울특별시,관악구,5,47,32,56,0.7,0.014,0.04,0.005
201002,서울특별시,광진구,0,470,28,47,0.6,0.017,0.035,0.005
201002,서울특별시,광진구,1,214,28,47,0.6,0.017,0.035,0.005
201002,서울특별시,광진구,2,123,28,47,0.6,0.017,0.035,0.005
201002,서울특별시,광진구,3,340,28,47,0.6,0.017,0.035,0.005
201002,서울특별시,광진구,4,158,28,47,0.6,0.017,0.035,0.005
201002,서울특별시,광진구,5,61,28,47,0.6,0.017,0.035,0.005
201002,서울특별시,구로구,0,111,28,53,0.8,0.015,0.04,0.005
201002,서울특별시,구로구,1,37,28,53,0.8,0.015,0.04,0.005
201002,서울특별시,구로구,2,24,28,53,0.8,0.015,0.04,0.005
201002,서울특별시,구로구,3,41,28,53,0.8,0.015,0.04,0.005
201002,서울특별시,구로구,4,10,28,53,0.8,0.015,0.04,0.005
201002,서울특별시,구로구,5,9,28,53,0.8,0.015,0.04,0.005
201002,서울특별시,금천구,0,231,28,53,0.6,0.017,0.031,0.008
201002,서울특별시,금천구,1,93,28,53,0.6,0.017,0.031,0.008
201002,서울특별시,금천구,2,50,28,53,0.6,0.017,0.031,0.008
201002,서울특별시,금천구,3,141,28,53,0.6,0.017,0.031,0.008
201002,서울특별시,금천구,4,46,28,53,0.6,0.017,0.031,0.008
201002,서울특별시,금천구,5,29,28,53,0.6,0.017,0.031,0.008
201002,서울특별시,노원구,0,390,31,46,0.6,0.018,0.036,0.007
201002,서울특별시,노원구,1,200,31,46,0.6,0.018,0.036,0.007
201002,서울특별시,노원구,2,127,31,46,0.6,0.018,0.036,0.007
201002,서울특별시,노원구,3,369,31,46,0.6,0.018,0.036,0.007
201002,서울특별시,노원구,4,117,31,46,0.6,0.018,0.036,0.007
201002,서울특별시,노원구,5,52,31,46,0.6,0.018,0.036,0.007
201002,서울특별시,도봉구,0,377,29,44,0.7,0.018,0.036,0.005
201002,서울특별시,도봉구,1,168,29,44,0.7,0.018,0.036,0.005
201002,서울특별시,도봉구,2,121,29,44,0.7,0.018,0.036,0.005
201002,서울특별시,도봉구,3,270,29,44,0.7,0.018,0.036,0.005
201002,서울특별시,도봉구,4,82,29,44,0.7,0.018,0.036,0.005
201002,서울특별시,도봉구,5,48,29,44,0.7,0.018,0.036,0.005
201002,서울특별시,동대문구,0,482,26,52,0.6,0.012,0.043,0.007
201002,서울특별시,동대문구,1,186,26,52,0.6,0.012,0.043,0.007
201002,서울특별시,동대문구,2,105,26,52,0.6,0.012,0.043,0.007
201002,서울특별시,동대문구,3,329,26,52,0.6,0.012,0.043,0.007
201002,서울특별시,동대문구,4,130,26,52,0.6,0.012,0.043,0.007
201002,서울특별시,동대문구,5,73,26,52,0.6,0.012,0.043,0.007
201002,서울특별시,동작구,0,346,29,47,0.5,0.019,0.042,0.008
201002,서울특별시,동작구,1,167,29,47,0.5,0.019,0.042,0.008
201002,서울특별시,동작구,2,91,29,47,0.5,0.019,0.042,0.008
201002,서울특별시,동작구,3,233,29,47,0.5,0.019,0.042,0.008
201002,서울특별시,동작구,4,85,29,47,0.5,0.019,0.042,0.008
201002,서울특별시,동작구,5,45,29,47,0.5,0.019,0.042,0.008
201002,서울특별시,마포구,0,548,31,54,0.7,0.011,0.039,0.005
201002,서울특별시,마포구,1,278,31,54,0.7,0.011,0.039,0.005
201002,서울특별시,마포구,2,207,31,54,0.7,0.011,0.039,0.005
201002,서울특별시,마포구,3,628,31,54,0.7,0.011,0.039,0.005
201002,서울특별시,마포구,4,211,31,54,0.7,0.011,0.039,0.005
201002,서울특별시,마포구,5,83,31,54,0.7,0.011,0.039,0.005
201002,서울특별시,서대문구,0,530,33,46,0.7,0.024,0.032,0.007
201002,서울특별시,서대문구,1,265,33,46,0.7,0.024,0.032,0.007
201002,서울특별시,서대문구,2,197,33,46,0.7,0.024,0.032,0.007
201002,서울특별시,서대문구,3,471,33,46,0.7,0.024,0.032,0.007
201002,서울특별시,서대문구,4,181,33,46,0.7,0.024,0.032,0.007
201002,서울특별시,서대문구,5,88,33,46,0.7,0.024,0.032,0.007
201002,서울특별시,서초구,0,436,34,52,0.6,0.012,0.036,0.005
201002,서울특별시,서초구,1,218,34,52,0.6,0.012,0.036,0.005
201002,서울특별시,서초구,2,113,34,52,0.6,0.012,0.036,0.005
201002,서울특별시,서초구,3,269,34,52,0.6,0.012,0.036,0.005
201002,서울특별시,서초구,4,91,34,52,0.6,0.012,0.036,0.005
201002,서울특별시,서초구,5,44,34,52,0.6,0.012,0.036,0.005
201002,서울특별시,성동구,0,371,31,50,0.7,0.015,0.036,0.006
201002,서울특별시,성동구,1,188,31,50,0.7,0.015,0.036,0.006
201002,서울특별시,성동구,2,137,31,50,0.7,0.015,0.036,0.006
201002,서울특별시,성동구,3,250,31,50,0.7,0.015,0.036,0.006
201002,서울특별시,성동구,4,79,31,50,0.7,0.015,0.036,0.006
201002,서울특별시,성동구,5,42,31,50,0.7,0.015,0.036,0.006
201002,서울특별시,성북구,0,343,28,47,0.8,0.011,0.045,0.005
201002,서울특별시,성북구,1,118,28,47,0.8,0.011,0.045,0.005
201002,서울특별시,성북구,2,84,28,47,0.8,0.011,0.045,0.005
201002,서울특별시,성북구,3,137,28,47,0.8,0.011,0.045,0.005
201002,서울특별시,성북구,4,60,28,47,0.8,0.011,0.045,0.005
201002,서울특별시,성북구,5,28,28,47,0.8,0.011,0.045,0.005
201002,서울특별시,송파구,0,233,33,47,0.7,0.016,0.033,0.006
201002,서울특별시,송파구,1,123,33,47,0.7,0.016,0.033,0.006
201002,서울특별시,송파구,2,74,33,47,0.7,0.016,0.033,0.006
201002,서울특별시,송파구,3,114,33,47,0.7,0.016,0.033,0.006
201002,서울특별시,송파구,4,36,33,47,0.7,0.016,0.033,0.006
201002,서울특별시,송파구,5,23,33,47,0.7,0.016,0.033,0.006
201002,서울특별시,양천구,0,278,31,53,0.8,0.018,0.045,0.008
201002,서울특별시,양천구,1,138,31,53,0.8,0.018,0.045,0.008
201002,서울특별시,양천구,2,112,31,53,0.8,0.018,0.045,0.008
201002,서울특별시,양천구,3,327,31,53,0.8,0.018,0.045,0.008
201002,서울특별시,양천구,4,123,31,53,0.8,0.018,0.045,0.008
201002,서울특별시,양천구,5,51,31,53,0.8,0.018,0.045,0.008
201002,서울특별시,영등포구,0,292,30,51,0.8,0.013,0.045,0.005
201002,서울특별시,영등포구,1,143,30,51,0.8,0.013,0.045,0.005
201002,서울특별시,영등포구,2,93,30,51,0.8,0.013,0.045,0.005
201002,서울특별시,영등포구,3,214,30,51,0.8,0.013,0.045,0.005
201002,서울특별시,영등포구,4,82,30,51,0.8,0.013,0.045,0.005
201002,서울특별시,영등포구,5,33,30,51,0.8,0.013,0.045,0.005
201002,서울특별시,용산구,0,347,28,51,0.5,0.014,0.043,0.007
201002,서울특별시,용산구,1,133,28,51,0.5,0.014,0.043,0.007
201002,서울특별시,용산구,2,109,28,51,0.5,0.014,0.043,0.007
201002,서울특별시,용산구,3,324,28,51,0.5,0.014,0.043,0.007
201002,서울특별시,용산구,4,141,28,51,0.5,0.014,0.043,0.007
201002,서울특별시,용산구,5,88,28,51,0.5,0.014,0.043,0.007
201002,서울특별시,은평구,0,371,33,46,0.8,0.019,0.035,0.006
201002,서울특별시,은평구,1,187,33,46,0.8,0.019,0.035,0.006
201002,서울특별시,은평구,2,150,33,46,0.8,0.019,0.035,0.006
201002,서울특별시,은평구,3,365,33,46,0.8,0.019,0.035,0.006
201002,서울특별시,은평구,4,176,33,46,0.8,0.019,0.035,0.006
201002,서울특별시,은평구,5,89,33,46,0.8,0.019,0.035,0.006
201002,서울특별시,종로구,0,503,30,50,0.6,0.016,0.041,0.007
201002,서울특별시,종로구,1,259,30,50,0.6,0.016,0.041,0.007
201002,서울특별시,종로구,2,140,30,50,0.6,0.016,0.041,0.007
201002,서울특별시,종로구,3,342,30,50,0.6,0.016,0.041,0.007
201002,서울특별시,종로구,4,128,30,50,0.6,0.016,0.041,0.007
201002,서울특별시,종로구,5,52,30,50,0.6,0.016,0.041,0.007
201002,서울특별시,중구,0,390,27,50,0.8,0.014,0.039,0.005
201002,서울특별시,중구,1,234,27,50,0.8,0.014,0.039,0.005
201002,서울특별시,중구,2,134,27,50,0.8,0.014,0.039,0.005
201002,서울특별시,중구,3,421,27,50,0.8,0.014,0.039,0.005
201002,서울특별시,중구,4,209,27,50,0.8,0.014,0.039,0.005
201002,서울특별시,중구,5,90,27,50,0.8,0.014,0.039,0.005
201002,서울특별시,중랑구,0,312,31,48,0.6,0.014,0.038,0.006
201002,서울특별시,중랑구,1,121,31,48,0.6,0.014,0.038,0.006
201002,서울특별시,중랑구,2,59,31,48,0.6,0.014,0.038,0.006
201002,서울특별시,중랑구,3,242,31,48,0.6,0.014,0.038,0.006
201002,서울특별시,중랑구,4,76,31,48,0.6,0.014,0.038,0.006
201002,서울특별시,중랑구,5,42,31,48,0.6,0.014,0.038,0.006
201003,서울특별시,강남구,0,257,32,67,0.5,0.018,0.039,0.004
201003,서울특별시,강남구,1,83,32,67,0.5,0.018,0.039,0.004
201003,서울특별시,강남구,2,52,32,67,0.5,0.018,0.039,0.004
201003,서울특별시,강남구,3,163,32,67,0.5,0.018,0.039,0.004
201003,서울특별시,강남구,4,67,32,67,0.5,0.018,0.039,0.004
201003,서울특별시,강남구,5,43,32,67,0.5,0.018,0.039,0.004
201003,서울특별시,강동구,0,431,27,63,0.2,0.026,0.03,0.006
201003,서울특별시,강동구,1,203,27,63,0.2,0.026,0.03,0.006
201003,서울특별시,강동구,2,103,27,63,0.2,0.026,0.03,0.006
201003,서울특별시,강동구,3,326,27,63,0.2,0.026,0.03,0.006
201003,서울특별시,강동구,4,115,27,63,0.2,0.026,0.03,0.006
201003,서울특별시,강동구,5,73,27,63,0.2,0.026,0.03,0.006
201003,서울특별시,강북구,0,380,27,51,0.4,0.028,0.033,0.006
201003,서울특별시,강북구,1,131,27,51,0.4,0.028,0.033,0.006
201003,서울특별시,강북구,2,58,27,51,0.4,0.028,0.033,0.006
201003,서울특별시,강북구,3,209,27,51,0.4,0.028,0.033,0.006
201003,서울특별시,강북구,4,78,27,51,0.4,0.028,0.033,0.006
