요양개시년월,주소(시도),주소(시군구),연령군,진료에피소드 건수,초미세먼지,미세먼지,일산화탄소,오존,이산화질소,아황산가스
201001,서울특별시,영등포구,3,5946,25,59,0.8,0.008,0.05,0.009
201001,서울특별시,영등포구,4,3555,25,59,0.8,0.008,0.05,0.009
201001,서울특별시,영등포구,5,1518,25,59,0.8,0.008,0.05,0.009
201001,서울특별시,용산구,0,482,23,61,0.8,0.012,0.05,0.01
201001,서울특별시,용산구,1,494,23,61,0.8,0.012,0.05,0.01
201001,서울특별시,용산구,2,368,23,61,0.8,0.012,0.05,0.01
201001,서울특별시,용산구,3,3158,23,61,0.8,0.012,0.05,0.01
201001,서울특별시,용산구,4,1819,23,61,0.8,0.012,0.05,0.01
201001,서울특별시,용산구,5,908,23,61,0.8,0.012,0.05,0.01
201001,서울특별시,은평구,0,1143,28,52,0.9,0.014,0.039,0.007
201001,서울특별시,은평구,1,1074,28,52,0.9,0.014,0.039,0.007
201001,서울특별시,은평구,2,880,28,52,0.9,0.014,0.039,0.007
201001,서울특별시,은평구,3,6173,28,52,0.9,0.014,0.039,0.007
201001,서울특별시,은평구,4,4035,28,52,0.9,0.014,0.039,0.007
201001,서울특별시,은평구,5,1824,28,52,0.9,0.014,0.039,0.007
201001,서울특별시,종로구,0,247,24,59,0.9,0.013,0.046,0.009
201001,서울특별시,종로구,1,332,24,59,0.9,0.013,0.046,0.009
201001,서울특별시,종로구,2,313,24,59,0.9,0.013,0.046,0.009
201001,서울특별시,종로구,3,1891,24,59,0.9,0.013,0.046,0.009
201001,서울특별시,종로구,4,1325,24,59,0.9,0.013,0.046,0.009
201001,서울특별시,종로구,5,640,24,59,0.9,0.013,0.046,0.009
201001,서울특별시,중구,0,84,21,58,1.0,0.011,0.043,0.007
201001,서울특별시,중구,1,93,21,58,1.0,0.011,0.043,0.007
201001,서울특별시,중구,2,79,21,58,1.0,0.011,0.043,0.007
201001,서울특별시,중구,3,767,21,58,1.0,0.011,0.043,0.007
