,년도,월,count
239,2015,10,1
240,2015,1,1
241,2015,1,1
242,2015,1,1
243,2015,1,1
244,2015,1,1
245,2015,1,1
246,2015,11,1
247,2015,10,1
248,2015,10,1
249,2015,10,1
250,2015,10,1
251,2015,11,1
252,2015,11,1
253,2015,11,1
254,2015,11,1
255,2015,11,1
256,2015,11,1
257,2015,11,1
258,2015,11,1
259,2015,10,1
260,2015,10,1
261,2015,10,1
262,2015,10,1
263,2015,10,1
264,2015,10,1
265,2015,10,1
266,2015,10,1
267,2015,10,1
268,2015,10,1
269,2015,10,1
270,2015,10,1
271,2015,10,1
272,2016,3,11
273,2016,11,8
274,2016,11,8
275,2016,12,7
276,2016,11,7
277,2016,10,7
278,2016,12,7
279,2016,12,7
280,2016,5,7
281,2016,3,7
282,2016,9,7
283,2016,9,6
284,2016,1,6
285,2016,11,6
286,2016,11,6
287,2016,11,6
288,2016,11,6
289,2016,11,6
290,2016,12,6
291,2016,5,5
292,2016,12,5
293,2016,5,5
294,2016,3,5
295,2016,2,5
296,2016,1,5
297,2016,9,5
298,2016,10,5
299,2016,9,5
300,2016,4,5
301,2016,10,5
302,2016,4,5
303,2016,4,5
304,2016,10,5
305,2016,5,5
306,2016,5,5
307,2016,5,4
308,2016,11,4
309,2016,5,4
310,2016,1,3
311,2016,6,3
312,2016,6,3
313,2016,1,2
314,2016,2,1
315,2016,3,1
316,2016,3,1
317,2016,3,1
318,2016,3,1
319,2016,3,1
320,2016,3,1
321,2016,3,1
322,2016,3,1
323,2016,3,1
324,2016,3,1
325,2016,2,1
326,2016,11,1
327,2016,2,1
328,2016,2,1
329,2016,12,1
330,2016,12,1
331,2016,12,1
332,2016,12,1
333,2016,12,1
334,2016,12,1
335,2016,12,1
336,2016,12,1
337,2016,3,1
338,2016,3,1
339,2016,3,1
340,2016,3,1
341,2016,4,1
342,2016,4,1
343,2016,4,1
344,2016,4,1
345,2016,4,1
346,2016,4,1
347,2016,4,1
348,2016,4,1
349,2016,4,1
350,2016,4,1
351,2016,4,1
352,2016,4,1
353,2016,4,1
354,2016,4,1
355,2016,4,1
356,2016,4,1
357,2016,4,1
358,2016,4,1
359,2016,3,1
360,2016,3,1
361,2016,3,1
362,2016,11,1
363,2016,11,1
364,2016,4,1
365,2016,1,1
366,2016,1,1
367,2016,1,1
368,2016,1,1
369,2016,1,1
370,2016,1,1
371,2016,1,1
372,2016,1,1
373,2016,1,1
374,2016,1,1
375,2016,1,1
376,2016,11,1
377,2016,1,1
378,2016,1,1
379,2016,1,1
380,2016,1,1
381,2016,11,1
382,2016,11,1
383,2016,11,1
384,2016,11,1
385,2016,11,1
386,2016,11,1
387,2016,11,1
388,2016,10,1
389,2016,10,1
390,2016,10,1
391,2016,10,1
392,2016,10,1
393,2016,10,1
394,2016,10,1
395,2016,10,1
396,2016,10,1
397,2016,10,1
398,2016,10,1
399,2016,1,1
400,2016,1,1
401,2016,1,1
402,2016,4,1
403,2016,4,1
404,2016,4,1
405,2016,5,1
406,2016,8,1
407,2016,6,1
408,2016,5,1
409,2016,5,1
410,2016,5,1
411,2016,5,1
412,2016,5,1
413,2016,5,1
414,2016,5,1
415,2016,5,1
416,2016,5,1
417,2016,5,1
418,2016,5,1
419,2016,5,1
420,2016,5,1
421,2016,5,1
422,2016,4,1
423,2016,4,1
424,2016,4,1
425,2016,4,1
426,2016,4,1
427,2016,9,1
428,2016,9,1
429,2016,9,1
430,2016,9,1
431,2016,9,1
432,2017,6,7
433,2017,5,7
434,2017,3,7
435,2017,4,7
436,2017,5,7
437,2017,2,7
438,2017,9,7
439,2017,4,6
440,2017,3,6
441,2017,2,6
442,2017,5,6
443,2017,3,6
444,2017,11,6
445,2017,5,6
446,2017,4,6
447,2017,4,6
448,2017,4,6
449,2017,4,6
450,2017,4,6
451,2017,4,6
452,2017,9,6
453,2017,1,6
454,2017,5,6
455,2017,1,6
456,2017,7,6
457,2017,1,6
458,2017,7,6
459,2017,1,6
460,2017,1,6
461,2017,1,5
462,2017,12,5
463,2017,11,5
464,2017,10,5
465,2017,10,5
466,2017,11,5
467,2017,1,5
468,2017,2,5
469,2017,9,5
470,2017,4,5
471,2017,7,5
