요양개시년월,연령군,합계 : 진료에피소드 건수
201710,0,5107
201710,1,3396
201710,2,1768
201710,3,7929
201710,4,4134
201710,5,2979
201711,0,5380
201711,1,3701
201711,2,1848
201711,3,8489
201711,4,4435
201711,5,3053
201712,0,4945
201712,1,3358
201712,2,1730
201712,3,8172
201712,4,4061
201712,5,2756
201801,0,5369
201801,1,3486
201801,2,2085
201801,3,8666
201801,4,4160
201801,5,2798
201802,0,5549
201802,1,3324
201802,2,1878
201802,3,7874
201802,4,3835
201802,5,2685
201803,0,6207
201803,1,3452
201803,2,1857
201803,3,9156
201803,4,4605
201803,5,3004
201804,0,6255
201804,1,3970
201804,2,2052
201804,3,9409
201804,4,4767
201804,5,3020
201805,0,6338
201805,1,3962
201805,2,2322
201805,3,9917
201805,4,5174
201805,5,3219
201806,0,6498
201806,1,3892
201806,2,2116
201806,3,10453
201806,4,5086
201806,5,3261
201807,0,5837
201807,1,4947
201807,2,2837
201807,3,11924
201807,4,5502
201807,5,3708
201808,0,5209
201808,1,4532
201808,2,2578
201808,3,10726
201808,4,5250
201808,5,3372
201809,0,5329
201809,1,3613
201809,2,1826
201809,3,9066
201809,4,4476
201809,5,2908
201810,0,5392
201810,1,3869
201810,2,2033
201810,3,9512
201810,4,4884
201810,5,3639
201811,0,4812
201811,1,3223
201811,2,1728
201811,3,8881
201811,4,4474
201811,5,3007
201812,0,5047
201812,1,3495
201812,2,1766
201812,3,9313
201812,4,4581
201812,5,3041
201901,0,5641
201901,1,3629
201901,2,2147
201901,3,9699
201901,4,4528
201901,5,3213
201902,0,5250
201902,1,3168
201902,2,1934
201902,3,8653
201902,4,4164
201902,5,2774
201903,0,5964
201903,1,3321
201903,2,1815
201903,3,9271
201903,4,4597
201903,5,2947
201904,0,5982
201904,1,3933
201904,2,1962
201904,3,10143
201904,4,5403
201904,5,3415
201905,0,7027
201905,1,4380
201905,2,2418
201905,3,11419
201905,4,6000
201905,5,3730
201906,0,5920
201906,1,3464
201906,2,1759
201906,3,9727
201906,4,4842
201906,5,3166
201907,0,5649
201907,1,4531
201907,2,2431
201907,3,11601
201907,4,5378
201907,5,3776
201908,0,5424
201908,1,4762
201908,2,2698
201908,3,11965
201908,4,5549
201908,5,3683
201909,0,5595
201909,1,3672
201909,2,1999
201909,3,10550
201909,4,5058
201909,5,3518
201910,0,5074
201910,1,3695
201910,2,2077
201910,3,10401
201910,4,5163
201910,5,3674
201911,0,4766
201911,1,3348
201911,2,1869
201911,3,9844
201911,4,4649
201911,5,3355
201912,0,4668
201912,1,3237
201912,2,1831
201912,3,9775
201912,4,4579
201912,5,3320
202001,0,4725
202001,1,3203
202001,2,2058
202001,3,10007
202001,4,4660
202001,5,3170
202002,0,4113
202002,1,2650
202002,2,1694
202002,3,9164
202002,4,4027
202002,5,2862
202003,0,5030
202003,1,2899
202003,2,1948
202003,3,9745
202003,4,4470
202003,5,3106
202004,0,6490
202004,1,3693
202004,2,2034
202004,3,10467
202004,4,4915
202004,5,3338
202005,0,6837
202005,1,4029
202005,2,2401
202005,3,11425
202005,4,5586
202005,5,3541
202006,0,6574
202006,1,4024
202006,2,2292
202006,3,12144
202006,4,5805
202006,5,3838
202007,0,4822
202007,1,3841
202007,2,2028
202007,3,11436
202007,4,5141
202007,5,3660
202008,0,4619
202008,1,4172
202008,2,2605
202008,3,12527
202008,4,5331
202008,5,3620
202009,0,5786
202009,1,4360
202009,2,2546
202009,3,12758
202009,4,5422
202009,5,3648
202010,0,5855
202010,1,3981
202010,2,2406
202010,3,11359
202010,4,4976
202010,5,3583
202011,0,4763
202011,1,3242
202011,2,1776
202011,3,10609
202011,4,4561
